project_name,developer,street_name,existing,latitude,longitude
TEACHER'S HOUSING ESTATE,,,Y,1.352083,103.819836
HILLSIDE GARDENS,,,Y,1.357714,103.877382
FONTAINE PARRY,,,Y,1.352083,103.819836
PARKVIEW APARTMENTS,,,Y,1.341384,103.76029
HELIOS RESIDENCES,,,Y,1.352083,103.819836
THOMSON V TWO,,,Y,1.378004,103.834165
MANDARIN GARDEN CONDOMINIUM,,,Y,1.352083,103.819836
ASTRID MEADOWS,,,Y,1.319782,103.792515
HUNDRED TREES,,,Y,1.352083,103.819836
SEA VIEW PARK,,,Y,1.300277,103.896426
GARDENVISTA,,,Y,1.352083,103.819836
CENTRO RESIDENCES,,,Y,1.352083,103.819836
WESTWOOD PARK,,,Y,1.351266,103.698472
COSTA RHU,,,Y,1.297607,103.867327
WATERFALL GARDENS,,,Y,1.352083,103.819836
THE CREST,Wingcrown Investment Pte Ltd,Prince Charles Crescent,Y,1.331864,103.80784
THE MAKENA,,,Y,1.352083,103.819836
MEADOWS @ PEIRCE,,,Y,1.305212,103.807426
RAFFLESIA CONDOMINIUM,,,Y,1.352083,103.819836
HIGHGATE,,,Y,1.291044,103.848995
SKY HABITAT,,,Y,1.352083,103.819836
RIPPLE BAY,MCL Land (Pasir Ris) Pte Ltd,Pasir Ris Link,Y,1.352083,103.819836
THE SOVEREIGN,,,Y,1.352083,103.819836
HILLVIEW GREEN,,,Y,1.352083,103.819836
SANCTUARY GREEN,,,Y,1.352083,103.819836
PINE GROVE,,,Y,1.317336,103.775025
DOVER PARKVIEW,,,Y,1.352083,103.819836
TEXTILE CENTRE,,,Y,1.30325,103.861083
THE LINCOLN RESIDENCES,,,Y,1.352083,103.819836
THE SANTORINI,MCC Land (Singapore) Pte Ltd,Tampines Street 86,Y,1.352083,103.819836
THE GREENWOOD,,,Y,1.335384,103.805908
FIVE CHANCERY,,,Y,1.319255,103.837012
LA SUISSE,,,Y,1.352083,103.819836
PARVIS,,,Y,1.352083,103.819836
THOMSON GRAND,Luxury Green Development Pte Ltd,Sin Ming Walk,Y,1.352083,103.819836
ALANA,Bullion Holdings Pte Ltd/Cabana JV Pte Ltd,Sunrise Terrace,Y,1.352083,103.819836
ARDMORE II,,,Y,1.309263,103.828246
THE AZURE,,,Y,1.251709,103.847904
THE SHELFORD,,,Y,1.327497,103.811276
CITYLIGHTS,,,Y,1.308344,103.863135
SIN MING PLAZA,,,Y,1.352539,103.835785
THE MARBELLA,,,Y,1.352083,103.819836
TANAMERA CREST,,,Y,1.332566,103.942134
CASA FORTUNA,,,Y,1.352083,103.819836
THE DRAYCOTT,,,Y,1.309655,103.832151
GOLDENHILL PARK CONDOMINIUM,,,Y,1.352083,103.819836
BISHOPSGATE RESIDENCES,,,Y,1.352083,103.819836
WATER PLACE,,,Y,1.353419,103.84273
ONE K GREENLANE,,,Y,1.311367,103.893429
DUET,,,Y,1.352083,103.819836
WATERFRONT GOLD,,,Y,1.352083,103.819836
FRANKEL ESTATE,,,Y,1.31656,103.917849
SELETAR PARK,,,Y,1.407095,103.884384
PARK NATURA,,,Y,1.429978,103.844243
D'LEEDON,,,Y,1.352083,103.819836
BOTANNIA,,,Y,1.352083,103.819836
PARC ROSEWOOD,,,Y,1.352083,103.819836
SELETARIS,,,Y,1.43549,103.824434
PARC OASIS,,,Y,1.343667,103.734626
THE LUXURIE,,,Y,1.352083,103.819836
THE CITRINE,,,Y,1.352083,103.819836
QUEENS,,,Y,1.320336,103.809056
CORALIS,,,Y,1.352083,103.819836
THE PATERSON,,,Y,1.302229,103.831282
OUE TWIN PEAKS,,,Y,1.352083,103.819836
THE SCALA,,,Y,1.352083,103.819836
THE TESSARINA,,,Y,1.333338,103.789982
FLAMINGO VALLEY,,,Y,1.317867,103.921746
LUXUS HILLS,Singapore United Estates Pte Ltd,Ang Mo Kio Avenue 5/Seletar Road/Yio Chu Kang Road,Y,1.379326,103.86987
ROBIN SUITES,Robin25 Pte Ltd,Robin Road,Y,1.352083,103.819836
HILLVIEW REGENCY,,,Y,1.352083,103.819836
COTE D'AZUR,,,Y,1.352083,103.819836
EASTWOOD GREEN,,,Y,1.322829,103.956128
CORALS AT KEPPEL BAY,Keppel Bay Pte Ltd,Keppel Bay Drive,Y,1.352083,103.819836
THE ESTUARY,,,Y,1.352083,103.819836
GRAMERCY PARK,Aston Properties Pte Ltd,Grange Road,Y,1.352083,103.819836
6 DERBYSHIRE,Fantasia (Novena) Pte Ltd,Derbyshire Road,Y,1.316002,103.845786
CITY SQUARE RESIDENCES,,,Y,1.310734,103.85739
MONTVIEW,,,Y,1.31679,103.777245
RIVER PLACE,,,Y,1.289776,103.841153
ALTEZ,,,Y,1.352083,103.819836
THE WATERINA,,,Y,1.313035,103.890587
SOLEIL @ SINARAN,,,Y,1.352083,103.819836
ALEXIS,,,Y,1.352083,103.819836
ELIAS GREEN,,,Y,1.371525,103.940975
PARC PALAIS,,,Y,1.352083,103.819836
COUNTRY PARK CONDOMINIUM,,,Y,1.316805,103.822178
COMPASS HEIGHTS,,,Y,1.352083,103.819836
SEMBAWANG PARK,,,Y,1.460382,103.83632
SURIN GROVE,,,Y,1.356388,103.884264
CATHAY GARDENS,,,Y,1.352083,103.819836
RAFFLES PARK,,,Y,1.291458,103.85859
NATHAN RESIDENCES,,,Y,1.352083,103.819836
THE NEXUS,,,Y,1.334421,103.786898
GREEN HILL ESTATE,,,Y,1.311242,103.892689
SKYLINE RESIDENCES,,,Y,1.352083,103.819836
EAST MEADOWS,,,Y,1.399633,103.915098
HEDGES PARK CONDOMINIUM,,,Y,1.352083,103.819836
ONE CHATSWORTH,,,Y,1.299212,103.824859
SUMMERHILL,,,Y,1.358365,103.765872
EDELWEISS PARK CONDOMINIUM,,,Y,1.352083,103.819836
MODENA,,,Y,1.342661,103.955307
GLENDALE PARK,,,Y,1.362226,103.765881
MEADOWLODGE,,,Y,1.352083,103.819836
ST PATRICK'S ROW,,,Y,1.308102,103.912675
TOMLINSON HEIGHTS,,,Y,1.303912,103.826007
BRADDELL HEIGHTS ESTATE,,,Y,1.343212,103.85556
THE WHARF RESIDENCE,,,Y,1.352083,103.819836
THE SKYWOODS,Bukit Timah Green Development Pte Ltd,Dairy Farm Heights,Y,1.352083,103.819836
THE BEACON,,,Y,1.352083,103.819836
STARVILLE,,,Y,1.352083,103.819836
THE GLYNDEBOURNE,,,Y,1.352083,103.819836
SANT RITZ,Santarli Realty Pte Ltd,Pheng Geck Avenue,Y,1.352083,103.819836
ONE DEVONSHIRE,,,Y,1.297519,103.837912
PINEWOOD GARDENS,,,Y,1.428243,103.780078
SEASTRAND,,,Y,1.352083,103.819836
ONE AMBER,,,Y,1.299231,103.89848
THE URBANITE,,,Y,1.352083,103.819836
THE PALETTE,,,Y,1.352083,103.819836
DE CASALLE,,,Y,1.352083,103.819836
RIVERWALK APARTMENTS,,,Y,1.352083,103.819836
WATERFRONT KEY,,,Y,1.337133,103.9317
THE CENTRIS,,,Y,1.352083,103.819836
LANDBAY CONDOMINIUM,,,Y,1.352083,103.819836
EAST COAST RESIDENCES,,,Y,1.379282,103.960998
ONE JERVOIS,,,Y,1.292711,103.825638
SELETAR SPRINGS CONDOMINIUM,,,Y,1.352083,103.819836
368 THOMSON,,,Y,1.327207,103.84183
JERVOIS LODGE,,,Y,1.294473,103.821964
EIGHT RIVERSUITES,UE Development (Bendemeer) Pte Ltd,Whampoa East,Y,1.321732,103.864602
RIVEREDGE,,,Y,1.352083,103.819836
H2O RESIDENCES,,,Y,1.352083,103.819836
NEWTON ONE,,,Y,1.313925,103.839668
TERRASSE,,,Y,1.368066,103.876688
THE INTERWEAVE,,,Y,1.352083,103.819836
BELMOND GREEN,,,Y,1.316739,103.798894
RIVERSOUND RESIDENCE,Qingjian Realty (Sengkang) Pte Ltd,Sengkang East Avenue,Y,1.352083,103.819836
CABANA,,,Y,1.352083,103.819836
ESTE VILLA,,,Y,1.352083,103.819836
ROBIN RESIDENCES,Sing Holdings (Robin) Pte Ltd,Robin Drive,Y,1.352083,103.819836
GALLOP GREEN,,,Y,1.314688,103.811974
TREVISTA,,,Y,1.337772,103.846738
OLEANDER TOWERS,,,Y,1.333166,103.844002
BOULEVARD VUE,,,Y,1.303374,103.829034
TRELLIS TOWERS,,,Y,1.330427,103.843792
ASTORIA PARK,,,Y,1.352083,103.819836
PALM GARDENS,,,Y,1.314512,103.930443
EAST VIEW GARDEN,,,Y,1.451372,103.789357
TERESA VILLE,,,Y,1.276317,103.82425
LIGHTHOUSE,,,Y,1.378241,103.959552
CLEMENTIWOODS CONDOMINIUM,,,Y,1.352083,103.819836
TANGLIN RESIDENCES,,,Y,1.317829,103.832478
TANGERINE GROVE,,,Y,1.352083,103.819836
THE WATERSIDE,,,Y,1.337133,103.9317
MARINA ONE RESIDENCES,MS Commercial Pte Ltd/MS Residential 1 Pte Ltd/MS Residential 2 Pte Ltd,Marina Way/Straits View,Y,1.317829,103.832478
ASTON RESIDENCE,,,Y,1.352083,103.819836
PARRY PARK,,,Y,1.364375,103.878378
AVILA TERRACE,,,Y,1.359912,103.968981
MANDALE HEIGHTS,,,Y,1.352083,103.819836
BEDOK COURT,,,Y,1.326638,103.951137
GILSTEAD BROOKS,,,Y,1.352083,103.819836
STRATA,,,Y,1.352083,103.819836
LEVILLE ISUITES,,,Y,1.305919,103.902587
PEOPLE'S PARK COMPLEX,,,Y,1.284198,103.842549
PARC OLYMPIA,KBD Flora Pte Ltd,Flora Drive,Y,1.352083,103.819836
THE GLADES,Sherwood Development Pte Ltd,Bedok Rise,Y,1.352083,103.819836
PEACH GARDEN,,,Y,1.298089,103.895818
RIDGEWOOD,,,Y,1.317093,103.778489
NATHAN PLACE,,,Y,1.296262,103.825725
ATRIUM RESIDENCES,,,Y,1.352083,103.819836
PEAKVIEW ESTATE,,,Y,1.352083,103.819836
BARTLEY RIDGE,Mount V Development Pte Ltd,Mount Vernon Road,Y,1.343714,103.87802
CAVENAGH HOUSE,,,Y,1.352083,103.819836
WEST BAY CONDOMINIUM,,,Y,1.299051,103.766868
SHELFORD 23,,,Y,1.327891,103.812337
SYMPHONY HEIGHTS,,,Y,1.356858,103.767371
NINE RESIDENCES,CEL-Yishun (Commercial) Pte Ltd/CEL-Yishun (Residential) Pte Ltd,Yishun Avenue 9,Y,1.317829,103.832478
D'CHATEAU @ SHELFORD,,,Y,1.352083,103.819836
CALLIDORA VILLE,,,Y,1.352083,103.819836
SCOTTS HIGHPARK,,,Y,1.352083,103.819836
LAKEPOINT CONDOMINIUM,,,Y,1.340104,103.716259
MT SINAI RESIDENCES,,,Y,1.352083,103.819836
THE VILLAS @ SENTOSA COVE,,,Y,1.25882,103.815038
PARC CENTROS,Wee Hur (Punggol Central) Pte Ltd,Punggol Central,Y,1.352083,103.819836
TANGLIN HILL CONDOMINIUM,,,Y,1.352083,103.819836
CENTURION 12,,,Y,1.352083,103.819836
THE SUNNY SPRING,,,Y,1.352083,103.819836
SEAHILL,Boo Han Holdings Pte Ltd,West Coast Crescent,Y,1.352083,103.819836
CHIP HOCK GARDENS,,,Y,1.352083,103.819836
CASA MERAH,,,Y,1.352083,103.819836
NORTHVALE,,,Y,1.387644,103.745935
THE GREENWICH,Far East Square Pte Ltd,Seletar Road,Y,1.369523,103.90925
MUTIARA CREST,,,Y,1.352083,103.819836
THE GERANIUM,,,Y,1.352083,103.819836
SERANGOON PARK,,,Y,1.370635,103.900919
YISHUN EMERALD,,,Y,1.352083,103.819836
HORIZON TOWER,,,Y,1.298406,103.833362
STRATTON GREEN,,,Y,1.382209,103.865075
THE TOMLINSON,,,Y,1.303912,103.826007
SEASONS PARK,,,Y,1.385652,103.839171
MIRAGE TOWER,,,Y,1.352083,103.819836
THE SUMMIT,,,Y,1.315047,103.940899
RIVERVALE CREST,,,Y,1.384721,103.903279
CARABELLE,,,Y,1.352083,103.819836
BAYWATER,,,Y,1.407245,103.867509
MAYSPRINGS,,,Y,1.352083,103.819836
THE VISION,,,Y,1.352083,103.819836
SIGNATURE PARK,,,Y,1.342618,103.770264
SEA ESTA,,,Y,1.352083,103.819836
AZALEA PARK CONDOMINIUM,,,Y,1.352083,103.819836
RIVERSIDE MELODIES,,,Y,1.352083,103.819836
VALLEY PARK,,,Y,1.277721,103.850878
D'ECOSIA,,,Y,1.352083,103.819836
PALACIO,Residenza Pte Ltd,Lorong M Telok Kurau,Y,1.352083,103.819836
L'VIV,,,Y,1.352083,103.819836
GOLDEN MILE COMPLEX,,,Y,1.302809,103.865293
FAR HORIZON GARDENS,,,Y,1.352083,103.819836
AMBER SKYE,CS Amber Development Pte Ltd,Amber Road,Y,1.352083,103.819836
SUNRISE GARDENS,,,Y,1.388457,103.855432
JULUCA,,,Y,1.352083,103.819836
VENTURA HEIGHTS,,,Y,1.352083,103.819836
LA FIESTA,EL Development (Sengkang) Pte Ltd,Sengkang Square,Y,1.352083,103.819836
BLUE HORIZON,,,Y,1.352083,103.819836
TAI KENG GARDENS,,,Y,1.347203,103.884954
EVERGREEN PARK,,,Y,1.315132,103.934549
MY MANHATTAN,,,Y,1.352083,103.819836
GOODLUCK GARDEN,,,Y,1.339574,103.767907
CENTRAL GROVE,,,Y,1.344211,103.860034
SIMSVILLE,,,Y,1.316623,103.890334
THE MADEIRA,,,Y,1.310279,103.909781
CAIRNHILL PLAZA,,,Y,1.306578,103.837381
CHANGI HEIGHTS,,,Y,1.318358,103.908854
THE COAST AT SENTOSA COVE,,,Y,1.244819,103.841058
SHAMROCK PARK,,,Y,1.352083,103.819836
THE SIERRA,,,Y,1.317836,103.780183
WATTEN RESIDENCES,,,N,1.352083,103.819836
ADELPHI PARK ESTATE,,,N,1.352083,103.819836
VICTORIA PARK VILLAS,Athens Residential Development Pte Ltd,Coronation Road,N,1.320218,103.802953
FUYONG ESTATE,,,N,1.352083,103.819836
THE SHAUGHNESSY,,,N,1.417255,103.845908
WINDSOR PARK ESTATE,,,N,1.357389,103.825686
BELGRAVIA PARK,,,N,1.352083,103.819836
SOMMERVILLE PARK,,,N,1.34499,103.868203
SOO CHOW GARDEN,,,N,1.353878,103.831226
ONE SURIN,Urban Lofts Pte Ltd,Surin Avenue,N,1.354111,103.879562
TAI HWAN GARDEN,,,N,1.357436,103.861144
BEDOK RIA,,,N,1.327021,103.95307
SUNBIRD PARK,,,N,1.339377,103.959243
PAVILION PARK,,,N,1.368455,103.751751
JANSEN 8,,,N,1.358815,103.878034
GENTLE VILLAS,,,N,1.319638,103.839468
MIMOSA TERRACE,,,N,1.38417,103.860918
LADYHILL PARK,,,N,1.310373,103.824157
HILLSTA,TrustHouse Pte Ltd,Phoenix Road,N,1.376434,103.756693
YEW LIAN PARK,,,N,1.352083,103.819836
LIRIA TERRACE,,,N,1.360448,103.968256
PARK VILLAS,,,N,1.368006,103.877973
ONE LYNWOOD,,,N,1.344228,103.862892
MUGLISTON HILL,,,N,1.304598,103.900922
HEETON CLASSIC,,,N,1.352083,103.819836
WATTEN ESTATE,,,N,1.329303,103.809764
THE INGLEWOOD,,,N,1.360708,103.830039
THE SPRINGSIDE,Kallang Development Pte Ltd,Jalan Ulu Seletar/Sembawang Road,N,1.404658,103.820785
LUXUS HILLS (PH 7),,,N,1.352083,103.819836
SEMBAWANG SPRINGS ESTATE,,,N,1.352083,103.819836
PRESIDENT GARDENS,,,N,1.352083,103.819836
VISTA GARDEN,,,N,1.255506,103.818691
WESTVILLE,,,N,1.352595,103.701116
FANTA GARDEN,,,N,1.352083,103.819836
HARBOUR VIEW GARDENS,,,N,1.288264,103.770994
THOMSON GARDEN ESTATE,,,N,1.327496,103.841345
SUMMER PLACE,,,N,1.356529,103.868869
BEAU VISTA,,,N,1.352083,103.819836
PARRYVILLE,,,N,1.352083,103.819836
VILLA VERDE,,,N,1.389374,103.752911
LOYANG VILLAS,,,N,1.372122,103.972845
CORONATION VILLAGE,,,N,1.321882,103.805303
BRIGHTON CREST,,,N,1.360945,103.869065
EMERALD HILL CONSERVATION AREA,,,N,1.352083,103.819836
EXCELSIOR GARDENS,,,N,1.325011,103.95232
SHANGRI0LA PARK,,,N,1.369787,103.83305
GOLDEN RISE ESTATE,,,N,1.354651,103.861626
MING TECK PARK,,,N,1.319677,103.788405
PASIR RIS BEACH PARK,,,N,1.383695,103.947101
ST ANNE'S WOOD,,,N,1.391473,103.903135
REGENT VILLAS,,,N,1.322361,103.790981
PASIR PANJANG GARDENS,,,N,1.28086,103.784958
RICHARD'S PARK,,,N,1.361873,103.881739
FUDU PARK,,,N,1.38996,103.838203
SERENE PARK,,,N,1.322198,103.813694
JIN DING GARDEN,,,N,1.352083,103.819836
THE WHITLEY RESIDENCES,Hoi Hup Realty Pte Ltd,Whitley Road,N,1.352083,103.819836
GOLDHILL GARDENS,,,N,1.319249,103.831929
BEDOK GROVE,,,N,1.326638,103.951137
THE RIVERINA,,,N,1.379723,103.945527
POETS VILLAS,,,N,1.352083,103.819836
FLORIDA PARK,,,N,1.356552,103.827184
LIMAU VILLAS,,,N,1.322361,103.949176
SEMBAWANG STRAITS ESTATE,,,N,1.352083,103.819836
SAVOY PARK,,,N,1.333001,103.768276
PEOPLE'S GARDEN,,,N,1.367983,103.88886
PEIRCE VILLAS,,,N,1.305212,103.807426
LAKESIDE GROVE,,,N,1.342403,103.719496
WEST PARK REGENCY,,,N,1.403684,103.86719
KEW GATE,,,N,1.318647,103.949872
CLEMENTI GREEN,,,N,1.313547,103.772215
D'MANOR,,,N,1.352083,103.819836
SUNRISE VILLA,,,N,1.352083,103.819836
SPRINGLEAF GARDEN,,,N,1.397831,103.821793
SENNETT ESTATE,,,N,1.318841,103.938682
TOH ESTATE,,,N,1.365662,103.972893
MACPHERSON GARDEN ESTATE,,,N,1.331138,103.878781
CLOVER PARK,,,N,1.350883,103.844038
PHOENIX HEIGHTS,,,N,1.37699,103.757227
THE CHANCERY RESIDENCE,,,N,1.352083,103.819836
HENRY PARK,,,N,1.315769,103.782661
SIEW LIM PARK,,,N,1.352083,103.819836
WEST COAST GARDENS,,,N,1.310421,103.756634
CHESTNUT RESIDENCES,,,N,1.367602,103.770246
CHARLTON GARDEN,,,N,1.354743,103.881872
D' KENARIS,,,N,1.352083,103.819836
ELIAS TERRACE,,,N,1.37215,103.942103
SPRINGHILL,,,N,1.385751,103.857504
SEMBAWANG GARDENS ARCADE,,,N,1.363707,103.866381
CHUAN VILLAS,,,N,1.353956,103.864227
KELULUT HILL,,,N,1.383944,103.87335
FABER HILLS,,,N,1.320422,103.756435
BURGUNDY HILL,,,N,1.352083,103.819836
WILKINSON 8,,,N,1.303222,103.895988
KEW VALE,,,N,1.318647,103.949872
BELGRAVIA VILLAS,Fairview Developments Pte Ltd,Belgravia Drive,N,1.352083,103.819836
GOLDEN HILL ESTATE,,,N,1.355252,103.861584
SEVEN CRESCENT,,,N,1.300127,103.894021
THE SPRINGFIELD,,,N,1.350658,103.929568
THE GARDENS AT GERALD,,,N,1.352083,103.819836
KEW RESIDENCIA,,,N,1.318437,103.951383
ESTRIVILLAS,,,N,1.352083,103.819836
EAST COAST PARK,,,N,1.300784,103.912187
EAST COAST HILL,,,N,1.305226,103.923256
HILLVIEW GARDEN ESTATE,,,N,1.35764,103.758338
PONGGOL PARK,,,N,1.409323,103.897786
THOMSON RIDGE ESTATE,,,N,1.352528,103.833855
BAN GUAN PARK,,,N,1.352083,103.819836
SWISS CLUB PARK,,,N,1.333405,103.791904
SPRINGWOOD,,,N,1.279048,103.790869
DUNEARN ESTATE,,,N,1.325781,103.808567
CHIP THYE GARDEN,,,N,1.381006,103.838364
SUMMER GARDENS,,,N,1.356529,103.868869
BEDOK PARK,,,N,1.325024,103.914352
LUCKY HILL,,,N,1.317523,103.940811
CHELSEA VILLAGE,,,N,1.31359,103.827431
TAI KENG VILLAS,,,N,1.347203,103.884954
FLORISSA PARK,,,N,1.387103,103.835384
OCEAN 8,,,N,1.248156,103.84186
ENG KONG PARK,,,N,1.334256,103.768333
CHUAN TERRACE,,,N,1.362675,103.867365
LYNNSVILLE 331,,,N,1.352083,103.819836
CASHEW VILLAS,,,N,1.371882,103.767783
CHARLTON 27,Surindipity Pte Ltd,Surin Avenue,N,1.356613,103.881678
THE TENERIFFE,,,N,1.352083,103.819836
CORAL PARK,,,N,1.251993,103.846094
MEDALLION,,,N,1.352083,103.819836
HAPPY ESTATE,,,N,1.33027,103.88149
THOMSON HILLS ESTATE,,,N,1.378574,103.831872
MANILA GARDENS,,,N,1.299077,103.853998
OASIS @ MULBERRY,,,N,1.352083,103.819836
APOLLO GARDENS,,,N,1.352083,103.819836
MOUNT SINAI,,,N,1.315409,103.778484
RAYA GARDEN,,,N,1.352083,103.819836
BEAUTY GARDEN,,,N,1.361716,103.748738
CHENG SOON GARDEN,,,N,1.334601,103.772287
MAYFAIR PARK,,,N,1.352083,103.819836
MARLENE VILLE,,,N,1.352083,103.819836
KINGSFORD WATERBAY,Kingsford Property Development Pte Ltd,Upper Serangoon View,N,1.352083,103.819836
ENG AUN PARK,,,N,1.352083,103.819836
MISTRAL PARK,,,N,1.339155,103.955634
DALLA VALE,,,N,1.400552,103.823633
ILLOURA,,,N,1.352083,103.819836
KINGSVILLE,,,N,1.352083,103.819836
TRUSSVILLE,,,N,1.352083,103.819836
SUMMER GROVE,,,N,1.356529,103.868869
EDEN PARK,,,N,1.344895,103.871733
EASTWOOD WALK GARDENS,,,N,1.322498,103.956741
